OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,High_level_taxonomy,HL_hit_percent_id,HL_hit_query_cover
FOTU_5061,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma abortivum ,unidentified,0,0
FOTU_5062,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodosporidiobolus,Rhodosporidiobolus ruineniae ,unidentified,0,0
FOTU_5063,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5064,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5065,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5066,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Dioszegia,unidentified,"Fungi-EMMF7,p__Basidiomycota,c__Tremellomycetes,o__Tremellales",89.372,91
FOTU_5067,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Scopuloides,Scopuloides hydnoides ,unidentified,0,0
FOTU_5068,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5069,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Lycoperdon,unidentified,unidentified,0,0
FOTU_5070,Viridiplantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,unidentified,unidentified,0,0
FOTU_5071,Fungi,Basidiomycota,Microbotryomycetes,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5072,Fungi,Mucoromycota,Endogonomycetes,Endogonales,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5073,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,unidentified,unidentified,0,0
FOTU_5074,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
